"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:01:03 GMT 2022","Tue Jun 14 13:01:07 GMT 2022","4285","test","test_conduit","TestConduit","","","test_data",""
"passed","Tue Jun 14 13:01:19 GMT 2022","Tue Jun 14 13:01:21 GMT 2022","2441","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 13:00:35 GMT 2022","Tue Jun 14 13:00:38 GMT 2022","2586","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 13:01:25 GMT 2022","Tue Jun 14 13:01:31 GMT 2022","5779","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 13:00:48 GMT 2022","Tue Jun 14 13:00:50 GMT 2022","2048","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Tue Jun 14 13:01:34 GMT 2022","Tue Jun 14 13:01:38 GMT 2022","3494","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Jun 14 13:00:42 GMT 2022","Tue Jun 14 13:00:44 GMT 2022","2246","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 13:01:11 GMT 2022","Tue Jun 14 13:01:15 GMT 2022","4637","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Tue Jun 14 13:00:55 GMT 2022","Tue Jun 14 13:00:59 GMT 2022","4405","test","test_conduit","TestConduit","","","test_logout",""
