"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 20:36:25 GMT 2022","Tue Jun 14 20:37:01 GMT 2022","35179","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Tue Jun 14 20:35:53 GMT 2022","Tue Jun 14 20:35:57 GMT 2022","4604","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Tue Jun 14 20:36:18 GMT 2022","Tue Jun 14 20:36:22 GMT 2022","3481","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Jun 14 20:36:01 GMT 2022","Tue Jun 14 20:36:03 GMT 2022","2442","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 20:35:37 GMT 2022","Tue Jun 14 20:35:41 GMT 2022","4308","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 20:36:07 GMT 2022","Tue Jun 14 20:36:15 GMT 2022","7863","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 20:35:19 GMT 2022","Tue Jun 14 20:35:21 GMT 2022","2277","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 20:35:45 GMT 2022","Tue Jun 14 20:35:49 GMT 2022","4288","test","test_conduit","TestConduit","","","test_data",""
"passed","Tue Jun 14 20:35:25 GMT 2022","Tue Jun 14 20:35:28 GMT 2022","2234","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 20:35:31 GMT 2022","Tue Jun 14 20:35:33 GMT 2022","2048","test","test_conduit","TestConduit","","","test_cookie",""
