"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 14:20:00 GMT 2022","Tue Jun 14 14:20:02 GMT 2022","2234","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 14:20:42 GMT 2022","Tue Jun 14 14:20:50 GMT 2022","7911","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 14:20:53 GMT 2022","Tue Jun 14 14:20:57 GMT 2022","3486","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Jun 14 14:20:12 GMT 2022","Tue Jun 14 14:20:16 GMT 2022","4385","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 14:20:36 GMT 2022","Tue Jun 14 14:20:38 GMT 2022","2443","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 14:20:06 GMT 2022","Tue Jun 14 14:20:08 GMT 2022","2051","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Tue Jun 14 14:19:54 GMT 2022","Tue Jun 14 14:19:56 GMT 2022","2551","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 14:20:28 GMT 2022","Tue Jun 14 14:20:32 GMT 2022","4604","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Tue Jun 14 14:20:20 GMT 2022","Tue Jun 14 14:20:24 GMT 2022","4286","test","test_conduit","TestConduit","","","test_data",""
