"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 21:46:06 GMT 2022","Thu Jun 16 21:46:14 GMT 2022","7786","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Thu Jun 16 21:45:48 GMT 2022","Thu Jun 16 21:45:55 GMT 2022","6427","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 16 21:47:30 GMT 2022","Thu Jun 16 21:47:37 GMT 2022","7367","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Jun 16 21:45:30 GMT 2022","Thu Jun 16 21:45:33 GMT 2022","3615","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Jun 16 21:45:58 GMT 2022","Thu Jun 16 21:46:02 GMT 2022","4307","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Thu Jun 16 21:46:38 GMT 2022","Thu Jun 16 21:46:45 GMT 2022","6515","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Thu Jun 16 21:46:48 GMT 2022","Thu Jun 16 21:47:26 GMT 2022","37735","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Thu Jun 16 21:46:24 GMT 2022","Thu Jun 16 21:46:35 GMT 2022","10382","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Thu Jun 16 21:45:42 GMT 2022","Thu Jun 16 21:45:45 GMT 2022","2050","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Thu Jun 16 21:46:17 GMT 2022","Thu Jun 16 21:46:21 GMT 2022","3463","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Thu Jun 16 21:45:37 GMT 2022","Thu Jun 16 21:45:39 GMT 2022","2243","test","test_conduit","TestConduit","","","test_login",""
