"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 05:37:34 GMT 2022","Fri Jun 17 05:37:36 GMT 2022","2255","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Jun 17 05:38:22 GMT 2022","Fri Jun 17 05:38:33 GMT 2022","10567","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Fri Jun 17 05:39:29 GMT 2022","Fri Jun 17 05:39:36 GMT 2022","7385","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Fri Jun 17 05:37:46 GMT 2022","Fri Jun 17 05:37:53 GMT 2022","6345","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Jun 17 05:38:36 GMT 2022","Fri Jun 17 05:38:43 GMT 2022","6537","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Fri Jun 17 05:38:15 GMT 2022","Fri Jun 17 05:38:19 GMT 2022","3476","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Fri Jun 17 05:37:40 GMT 2022","Fri Jun 17 05:37:42 GMT 2022","2052","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Fri Jun 17 05:38:04 GMT 2022","Fri Jun 17 05:38:12 GMT 2022","7692","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Fri Jun 17 05:37:28 GMT 2022","Fri Jun 17 05:37:30 GMT 2022","2308","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Jun 17 05:38:47 GMT 2022","Fri Jun 17 05:39:24 GMT 2022","37804","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Fri Jun 17 05:37:56 GMT 2022","Fri Jun 17 05:38:01 GMT 2022","4302","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
