"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 20:46:44 GMT 2022","Mon Jun 13 20:46:48 GMT 2022","4638","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Mon Jun 13 20:46:16 GMT 2022","Mon Jun 13 20:46:18 GMT 2022","2244","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 13 20:46:36 GMT 2022","Mon Jun 13 20:46:40 GMT 2022","4299","test","test_conduit","TestConduit","","","test_data",""
"passed","Mon Jun 13 20:46:52 GMT 2022","Mon Jun 13 20:46:54 GMT 2022","2466","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Mon Jun 13 20:46:28 GMT 2022","Mon Jun 13 20:46:32 GMT 2022","4424","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 13 20:46:22 GMT 2022","Mon Jun 13 20:46:24 GMT 2022","2052","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Mon Jun 13 20:46:10 GMT 2022","Mon Jun 13 20:46:13 GMT 2022","2450","test","test_conduit","TestConduit","","","test_registration",""
