"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 20:10:25 GMT 2022","Tue Jun 14 20:10:28 GMT 2022","2246","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 20:11:19 GMT 2022","Tue Jun 14 20:11:23 GMT 2022","3546","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Jun 14 20:11:01 GMT 2022","Tue Jun 14 20:11:04 GMT 2022","2478","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 20:10:31 GMT 2022","Tue Jun 14 20:10:33 GMT 2022","2052","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Tue Jun 14 20:10:45 GMT 2022","Tue Jun 14 20:10:49 GMT 2022","4298","test","test_conduit","TestConduit","","","test_data",""
"passed","Tue Jun 14 20:10:19 GMT 2022","Tue Jun 14 20:10:22 GMT 2022","2348","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 20:11:07 GMT 2022","Tue Jun 14 20:11:16 GMT 2022","8450","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 20:11:26 GMT 2022","Tue Jun 14 20:12:02 GMT 2022","35671","test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Tue Jun 14 20:10:37 GMT 2022","Tue Jun 14 20:10:41 GMT 2022","4337","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 20:10:53 GMT 2022","Tue Jun 14 20:10:58 GMT 2022","4713","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
