"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 22:48:55 GMT 2022","Tue Jun 14 22:48:58 GMT 2022","3546","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Tue Jun 14 22:49:02 GMT 2022","Tue Jun 14 22:49:38 GMT 2022","35787","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Tue Jun 14 22:47:54 GMT 2022","Tue Jun 14 22:47:57 GMT 2022","2319","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 22:48:12 GMT 2022","Tue Jun 14 22:48:16 GMT 2022","4333","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 22:48:36 GMT 2022","Tue Jun 14 22:48:39 GMT 2022","2467","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 22:48:06 GMT 2022","Tue Jun 14 22:48:08 GMT 2022","2052","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Tue Jun 14 22:48:42 GMT 2022","Tue Jun 14 22:48:51 GMT 2022","8572","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 22:49:41 GMT 2022","Tue Jun 14 22:49:46 GMT 2022","4390","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Jun 14 22:48:28 GMT 2022","Tue Jun 14 22:48:33 GMT 2022","4711","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Tue Jun 14 22:48:20 GMT 2022","Tue Jun 14 22:48:24 GMT 2022","4301","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Tue Jun 14 22:48:00 GMT 2022","Tue Jun 14 22:48:03 GMT 2022","2255","test","test_conduit","TestConduit","","","test_login",""
