"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 11 23:19:02 GMT 2022","Sat Jun 11 23:19:04 GMT 2022","2379","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 11 23:19:13 GMT 2022","Sat Jun 11 23:19:18 GMT 2022","4477","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 11 23:18:56 GMT 2022","Sat Jun 11 23:18:58 GMT 2022","2367","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sat Jun 11 23:19:08 GMT 2022","Sat Jun 11 23:19:10 GMT 2022","2054","test","test_conduit","TestConduit","","","test_cookie",""
