"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 11:19:28 GMT 2022","Mon Jun 20 11:19:32 GMT 2022","4301","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Mon Jun 20 11:19:36 GMT 2022","Mon Jun 20 11:19:44 GMT 2022","7646","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Mon Jun 20 11:20:37 GMT 2022","Mon Jun 20 11:20:45 GMT 2022","7406","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Mon Jun 20 11:19:47 GMT 2022","Mon Jun 20 11:19:51 GMT 2022","3453","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Mon Jun 20 11:19:07 GMT 2022","Mon Jun 20 11:19:09 GMT 2022","2239","test","test_conduit","TestConduit","","","test_login",""
"broken","Mon Jun 20 11:20:18 GMT 2022","Mon Jun 20 11:20:34 GMT 2022","15745","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Mon Jun 20 11:19:18 GMT 2022","Mon Jun 20 11:19:25 GMT 2022","6330","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 20 11:19:54 GMT 2022","Mon Jun 20 11:20:04 GMT 2022","10161","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Mon Jun 20 11:19:12 GMT 2022","Mon Jun 20 11:19:14 GMT 2022","2050","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Mon Jun 20 11:19:01 GMT 2022","Mon Jun 20 11:19:03 GMT 2022","2300","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 20 11:20:08 GMT 2022","Mon Jun 20 11:20:14 GMT 2022","6512","test","test_conduit","TestConduit","","","test_modify_data",""
