"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 05:04:05 GMT 2022","Tue Jun 14 05:04:07 GMT 2022","2472","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 14 05:03:41 GMT 2022","Tue Jun 14 05:03:45 GMT 2022","4393","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 05:04:11 GMT 2022","Tue Jun 14 05:04:17 GMT 2022","6326","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Tue Jun 14 05:03:49 GMT 2022","Tue Jun 14 05:03:53 GMT 2022","4296","test","test_conduit","TestConduit","","","test_data",""
"passed","Tue Jun 14 05:03:23 GMT 2022","Tue Jun 14 05:03:26 GMT 2022","2496","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 05:03:35 GMT 2022","Tue Jun 14 05:03:37 GMT 2022","2050","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Tue Jun 14 05:03:29 GMT 2022","Tue Jun 14 05:03:31 GMT 2022","2245","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 05:03:56 GMT 2022","Tue Jun 14 05:04:01 GMT 2022","4689","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
