"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 12:50:11 GMT 2022","Wed Jun 15 12:50:19 GMT 2022","7664","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Wed Jun 15 12:49:42 GMT 2022","Wed Jun 15 12:49:44 GMT 2022","2242","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 15 12:51:36 GMT 2022","Wed Jun 15 12:51:43 GMT 2022","7464","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Wed Jun 15 12:49:47 GMT 2022","Wed Jun 15 12:49:50 GMT 2022","2051","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Wed Jun 15 12:50:44 GMT 2022","Wed Jun 15 12:50:50 GMT 2022","6520","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Wed Jun 15 12:50:30 GMT 2022","Wed Jun 15 12:50:40 GMT 2022","10486","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Wed Jun 15 12:50:54 GMT 2022","Wed Jun 15 12:51:32 GMT 2022","37807","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Wed Jun 15 12:50:03 GMT 2022","Wed Jun 15 12:50:08 GMT 2022","4318","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Wed Jun 15 12:49:35 GMT 2022","Wed Jun 15 12:49:38 GMT 2022","2997","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 15 12:49:53 GMT 2022","Wed Jun 15 12:50:00 GMT 2022","6351","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 15 12:50:23 GMT 2022","Wed Jun 15 12:50:26 GMT 2022","3479","test","test_conduit","TestConduit","","","test_listing_data",""
