"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 18:57:10 GMT 2022","Thu Jun 16 18:57:12 GMT 2022","2067","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Thu Jun 16 18:58:07 GMT 2022","Thu Jun 16 18:58:14 GMT 2022","6648","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Thu Jun 16 18:57:34 GMT 2022","Thu Jun 16 18:57:42 GMT 2022","7888","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Thu Jun 16 18:57:52 GMT 2022","Thu Jun 16 18:58:04 GMT 2022","11185","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Thu Jun 16 18:57:04 GMT 2022","Thu Jun 16 18:57:06 GMT 2022","2312","test","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 16 18:57:45 GMT 2022","Thu Jun 16 18:57:49 GMT 2022","3565","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Thu Jun 16 18:57:16 GMT 2022","Thu Jun 16 18:57:22 GMT 2022","6419","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 16 18:57:26 GMT 2022","Thu Jun 16 18:57:30 GMT 2022","4392","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Thu Jun 16 18:56:58 GMT 2022","Thu Jun 16 18:57:00 GMT 2022","2375","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Jun 16 18:58:18 GMT 2022","Thu Jun 16 18:58:56 GMT 2022","38651","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Thu Jun 16 18:59:00 GMT 2022","Thu Jun 16 18:59:07 GMT 2022","7536","test","test_conduit","TestConduit","","","test_save_data",""
