"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 14 20:05:11 GMT 2022","Tue Jun 14 20:05:11 GMT 2022","0","test","test_conduit","TestConduit","","","test_cookie",""
"broken","Tue Jun 14 20:05:12 GMT 2022","Tue Jun 14 20:05:12 GMT 2022","0","test","test_conduit","TestConduit","","","test_logout",""
"broken","Tue Jun 14 20:05:16 GMT 2022","Tue Jun 14 20:05:16 GMT 2022","0","test","test_conduit","TestConduit","","","test_listing_data",""
"broken","Tue Jun 14 20:05:08 GMT 2022","Tue Jun 14 20:05:08 GMT 2022","0","test","test_conduit","TestConduit","","","test_registration",""
"broken","Tue Jun 14 20:05:14 GMT 2022","Tue Jun 14 20:05:14 GMT 2022","0","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"broken","Tue Jun 14 20:05:13 GMT 2022","Tue Jun 14 20:05:13 GMT 2022","0","test","test_conduit","TestConduit","","","test_data",""
"broken","Tue Jun 14 20:05:17 GMT 2022","Tue Jun 14 20:05:17 GMT 2022","0","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"broken","Tue Jun 14 20:05:19 GMT 2022","Tue Jun 14 20:05:19 GMT 2022","0","test","test_conduit","TestConduit","","","test_delete_data",""
"broken","Tue Jun 14 20:05:18 GMT 2022","Tue Jun 14 20:05:18 GMT 2022","0","test","test_conduit","TestConduit","","","test_modify_data",""
"broken","Tue Jun 14 20:05:10 GMT 2022","Tue Jun 14 20:05:10 GMT 2022","0","test","test_conduit","TestConduit","","","test_login",""
